Key,Name,Format
x,X,long
y,Y,long
z,Z,long
intensity,Intensity,unsigned short
return_num,Return Number,bit[4]
num_pulse_returns,Number of Returns (Given Pulse),bit[4]
classification_flags,Classification Flags,bit[4]
scanner_channel,Scanner Channel,bit[2]
scan_dir_flag,Scan Direction Flag,bit
edge_flight_line,Edge of Flight Line,bit
classification,Classification,unsigned char
user_data,User Data,unsigned char
scan_angle,Scan Angle,short
point_source_id,Point Source Id,unsigned short
gps_time,GPS Time,double
red,Red,unsigned short
blue,Blue,unsigned short
green,Green,unsigned short
nir,NIR,unsigned short
